Park Name,Non Recreation Visits,Non Recreation Hours,Concessioner Lodging,Concessioner Camping,Tent Campers,RV Campers,Backcountry,Miscellaneous Overnight Stays,Number of Activities,Entrance Fees,Recreation Visits,Crowding Levels
Acadia NP,3925.0,3925.0,0.0,104.82575757575758,10320.848484848484,3754.4242424242425,106.26515151515152,698.7045454545455,46.0,6.0,297181.5909090909,High
Arches NP,125.48484848484848,125.48484848484848,0.0,0.0,1339.030303030303,1406.0,32.17424242424242,457.84090909090907,18.0,30.0,127372.46212121211,High
Badlands NP,5311.272727272727,5311.272727272727,802.3560606060606,2125.492424242424,325.030303030303,72.45454545454545,192.4090909090909,6.598484848484849,21.0,30.0,86726.17424242424,Medium
Big Bend NP,207.1818181818182,207.1818181818182,2717.181818181818,616.0530303030303,4288.75,2258.462121212121,3197.219696969697,2354.2348484848485,24.0,30.0,39713.34090909091,Medium
Biscayne NP,0.0,0.0,0.0,0.0,128.96212121212122,0.0,0.0,238.1136363636364,24.0,0.0,45659.68939393939,Medium
Black Canyon of the Gunnison NP,0.0,0.0,0.0,0.0,1377.8484848484848,988.25,138.36363636363637,0.0,26.0,30.0,25658.416666666668,Low
Bryce Canyon NP,34811.583333333336,34811.583333333336,3974.0,0.0,3467.840909090909,3731.378787878788,177.56060606060606,108.3560606060606,30.0,35.0,187936.4090909091,High
Canyonlands NP,0.0,0.0,0.0,0.0,843.1287878787879,707.5681818181819,6325.015151515152,91.53030303030305,22.0,30.0,62318.68939393939,Medium
Capitol Reef NP,5656.780303030303,5656.780303030303,0.0,0.0,1762.4772727272727,2069.628787878788,271.219696969697,211.2878787878788,42.0,20.0,100788.40909090907,Medium
Carlsbad Caverns NP,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,17.0,1.0,34306.86363636364,Low
Channel Islands NP,726.0909090909091,726.0909090909091,0.0,0.0,0.0,0.0,2348.530303030303,3192.840909090909,39.0,0.0,26344.62121212121,Low
Congaree NP,0.0,0.0,0.0,0.0,220.92424242424244,0.0,67.20454545454545,564.7575757575758,26.0,0.0,15267.651515151516,Low
Crater Lake NP,4133.333333333333,4133.333333333333,2654.7954545454545,2803.7727272727275,224.0757575757576,0.0,208.8257575757576,0.0,43.0,30.0,53413.98484848485,Medium
Cuyahoga Valley NP,0.0,0.0,495.8712121212121,0.0,0.0,0.0,0.0,152.3409090909091,29.0,0.0,214477.15151515152,High
Death Valley NP,4197.113636363636,4197.113636363636,2165.1439393939395,741.7121212121212,6460.818181818182,7333.909090909091,304.0378787878788,47.09848484848485,27.0,30.0,106979.12121212122,Medium
Denali NP & PRES,69193.87878787878,69193.87878787878,0.0,1458.030303030303,795.280303030303,417.8333333333333,2494.742424242424,16.356060606060606,34.0,15.0,39446.757575757576,Medium
Dry Tortugas NP,311.20454545454544,311.20454545454544,0.0,0.0,449.45454545454544,0.0,0.0,625.9090909090909,18.0,15.0,6092.234848484848,Low
Everglades NP,434.6666666666667,434.6666666666667,0.0,2637.3560606060605,183.9621212121212,223.03030303030303,1219.780303030303,56.03787878787879,46.0,35.0,74790.35606060606,Medium
Gates of the Arctic NP & PRES,0.0,0.0,0.0,0.0,0.0,0.0,410.6590909090909,0.0,16.0,0.0,830.6363636363636,Low
Gateway Arch NP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,143068.0303030303,High
Glacier Bay NP & PRES,38.42424242424242,38.42424242424242,1054.8863636363635,0.0,58.21969696969697,0.0,358.5833333333333,992.8939393939394,31.0,0.0,43256.378787878784,Medium
Glacier NP,795.3636363636364,795.3636363636364,8191.992424242424,0.0,8865.704545454546,8904.431818181818,2665.083333333333,376.00757575757575,45.0,35.0,239403.8106060606,High
Grand Canyon NP,2204.598484848485,2204.598484848485,44727.431818181816,3504.25,10579.901515151516,5390.409090909091,24176.242424242424,1759.6363636363635,32.0,35.0,426856.7272727273,High
Grand Teton NP,128650.90151515152,128650.90151515152,15117.227272727272,29383.666666666668,1.4848484848484849,2.825757575757576,3263.5151515151515,36.16666666666666,54.0,35.0,283794.1590909091,High
Great Basin NP,108.72727272727272,108.72727272727272,0.0,0.0,2053.2651515151515,1497.8939393939395,36.15151515151515,115.92424242424242,35.0,0.0,11952.075757575758,Low
Great Sand Dunes NP & PRES,39.16666666666666,39.16666666666666,0.0,0.0,2339.4242424242425,1862.439393939394,621.2121212121212,653.9090909090909,56.0,25.0,38523.92424242424,Low
Great Smoky Mountains NP,893553.5833333334,893553.5833333334,880.5681818181819,0.0,15014.083333333334,11120.121212121212,7737.674242424242,2183.3030303030305,36.0,0.0,1011709.2196969696,High
