Park Name,Unit Code,Park Type,Region,State,Year,Month,Recreation Visits,Non Recreation Visits,Recreation Hours,Non Recreation Hours,Concessioner Lodging,Concessioner Camping,Tent Campers,RV Campers,Backcountry,Non Recreation Overnight Stays,Miscellaneous Overnight Stays
Acadia NP,ACAD,National Park,Northeast ,ME,2015,1,12578,600,83017,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2015,2,10626,600,70132,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2015,3,18062,600,119207,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2015,4,63214,600,366642,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2015,5,187205,7500,1062976,7500,0,0,10248,1737,44,0,753
Acadia NP,ACAD,National Park,Northeast ,ME,2015,6,359661,7500,2031345,7500,0,0,20187,4776,222,0,1191
Acadia NP,ACAD,National Park,Northeast ,ME,2015,7,606597,7500,2975978,7500,0,0,36642,7992,310,0,2542
Acadia NP,ACAD,National Park,Northeast ,ME,2015,8,666767,7500,3266176,7500,0,0,36042,7902,332,0,2167
Acadia NP,ACAD,National Park,Northeast ,ME,2015,9,479320,7500,2232571,7500,0,0,23814,7206,241,0,1171
Acadia NP,ACAD,National Park,Northeast ,ME,2015,10,344362,6000,1867356,6000,0,0,8067,2481,84,0,519
Acadia NP,ACAD,National Park,Northeast ,ME,2015,11,48912,600,293469,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2015,12,13880,600,83282,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2016,1,17204,600,113549,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2016,2,16530,600,109098,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2016,3,28121,600,185597,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2016,4,94199,600,575374,600,0,0,885,168,0,0,10
Acadia NP,ACAD,National Park,Northeast ,ME,2016,5,217147,7500,1587762,7500,0,0,10521,1854,38,0,637
Acadia NP,ACAD,National Park,Northeast ,ME,2016,6,445410,7500,3496610,7500,0,0,25488,7938,303,0,1425
Acadia NP,ACAD,National Park,Northeast ,ME,2016,7,696854,7500,4880430,7500,0,0,39942,11757,353,0,2966
Acadia NP,ACAD,National Park,Northeast ,ME,2016,8,735945,7500,5075152,7500,0,360,40557,11649,381,0,2250
Acadia NP,ACAD,National Park,Northeast ,ME,2016,9,570434,7500,3596598,7500,0,617,23148,10044,249,0,984
Acadia NP,ACAD,National Park,Northeast ,ME,2016,10,412416,6000,2663628,6000,0,0,12270,3219,0,0,291
Acadia NP,ACAD,National Park,Northeast ,ME,2016,11,55022,600,330133,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2016,12,14111,600,84665,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2017,1,15520,600,102429,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2017,2,14342,600,94657,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2017,3,20936,600,138175,600,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2017,4,85267,600,516088,600,0,0,594,195,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2017,5,222978,7500,1680423,7500,0,100,10827,3213,298,0,788
Acadia NP,ACAD,National Park,Northeast ,ME,2017,6,476191,7500,3657913,7500,0,343,24372,9360,298,0,1976
Acadia NP,ACAD,National Park,Northeast ,ME,2017,7,743529,7500,5107426,7500,0,188,39429,12642,325,0,2929
Acadia NP,ACAD,National Park,Northeast ,ME,2017,8,762436,7500,5209104,7500,0,368,39864,11874,336,0,3071
Acadia NP,ACAD,National Park,Northeast ,ME,2017,9,595388,7500,3916584,7500,0,556,27054,13554,253,0,1565
Acadia NP,ACAD,National Park,Northeast ,ME,2017,10,507594,6000,3201030,6000,0,102,10446,4974,87,0,560
