fullName,states,latitude,longitude,designation,parkCode,activities,entranceFees
Abraham Lincoln Birthplace National Historical Park,KY,37.5858662,-85.67330523,National Historical Park,abli,"Astronomy,Stargazing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hands-On,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Acadia National Park,ME,44.409286,-68.247501,National Park,acad,"Arts and Culture,Cultural Demonstrations,Astronomy,Stargazing,Biking,Boating,Camping,Group Camping,Climbing,Rock Climbing,Compass and GPS,Geocaching,Fishing,Freshwater Fishing,Fly Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Bus/Shuttle Guided Tour,Boat Tour,Hands-On,Citizen Science,Hiking,Front-Country Hiking,Horse Trekking,Horseback Riding,Ice Skating,Paddling,Canoeing,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Skiing,Cross-Country Skiing,Snow Play,Snowmobiling,Snowshoeing,Swimming,Freshwater Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",6.00
Adams National Historical Park,MA,42.2553961,-71.01160356,National Historical Park,adam,"Guided Tours,Self-Guided Tours - Walking,Living History,First Person Interpretation,Junior Ranger Program,Park Film,Shopping,Bookstore and Park Store",15.00
African American Civil War Memorial,DC,38.9166,-77.026,,afam,"Guided Tours,Self-Guided Tours - Walking",
African Burial Ground National Monument,NY,40.71452681,-74.00447358,National Monument,afbg,"Arts and Culture,Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Agate Fossil Beds National Monument,NE,42.42170419,-103.753886,National Monument,agfo,"Arts and Culture,Cultural Demonstrations,Astronomy,Stargazing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Ala Kahakai National Historic Trail,HI,19.144668109,-155.890734294,National Historic Trail,alka,"Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Biking,Mountain Biking,Road Biking,Boating,Motorized Boating,Sailing,Boat Tour,Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Compass and GPS,Geocaching,Orienteering,Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hands-On,Arts and Crafts,Hiking,Front-Country Hiking,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,SCUBA Diving,Snorkeling,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching",
Alagnak Wild River,AK,59.05180188,-156.112002,Wild River,alag,"Boating,Camping,Backcountry Camping,Fishing,Hunting and Gathering,Hunting,Paddling,Canoe or Kayak Camping,Kayaking,Whitewater Rafting,Wildlife Watching,Birdwatching",
Alaska Public Lands,AK,61.2188,-149.894536,,anch,,
Alcatraz Island,CA,37.82676234,-122.4230206,,alca,"Food,Wildlife Watching,Birdwatching,Museum Exhibits,Shopping,Bookstore and Park Store",
Aleutian Islands World War II National Historic Area,AK,53.9143,-166.5197,National Historic Area,aleu,"Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Junior Ranger Program,Wildlife Watching,Birdwatching,Museum Exhibits",
Alibates Flint Quarries National Monument,TX,35.5819662,-101.6717008,National Monument,alfl,"Arts and Culture,Craft Demonstrations,Camping,Guided Tours,Junior Ranger Program,Park Film,Museum Exhibits",
Allegheny Portage Railroad National Historic Site,PA,40.42977467,-78.57431622,National Historic Site,alpo,"Arts and Culture,Cultural Demonstrations,Guided Tours,Self-Guided Tours - Walking,Hiking,Living History,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Amache National Historic Site,CO,38.04962,-102.32903,National Historic Site,amch,"Guided Tours,Self-Guided Tours - Auto,Junior Ranger Program",
American Memorial Park,MP,15.21680033,145.7231096,Park,amme,"Arts and Culture,Theater,Biking,Fishing,Saltwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Living History,First Person Interpretation,Junior Ranger Program,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Amistad National Recreation Area,TX,29.53539777,-101.075821,National Recreation Area,amis,"Boating,Motorized Boating,Sailing,Jet Skiing,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Group Camping,RV Camping,Fishing,Freshwater Fishing,Hiking,Front-Country Hiking,Hunting and Gathering,Hunting,Paddling,Canoeing,Kayaking,Junior Ranger Program,SCUBA Diving,Swimming,Freshwater Swimming,Water Skiing,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",
Anacostia Park,DC,38.8782,-76.9703,Park,anac,"Biking,Road Biking,Boating,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Paddling,Canoeing,Kayaking,Playground,Team Sports,Wildlife Watching",
Andersonville National Historic Site,GA,32.19831758,-84.12988898,National Historic Site,ande,"Auto and ATV,Scenic Driving,Camping,Group Camping,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Living History,Reenactments,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Andrew Johnson National Historic Site,TN,36.15624509,-82.83709021,National Historic Site,anjo,"Arts and Culture,Guided Tours,Self-Guided Tours - Walking,Junior Ranger Program,Museum Exhibits",
Aniakchak National Monument & Preserve,AK,56.85317675,-157.5544362,National Monument & Preserve,ania,"Camping,Backcountry Camping,Climbing,Mountain Climbing,Flying,Hiking,Backcountry Hiking,Paddling,Whitewater Rafting,Wildlife Watching,Birdwatching",
Antietam National Battlefield,MD,39.46763452,-77.73828017,National Battlefield,anti,"Biking,Road Biking,Camping,Group Camping,Guided Tours,Self-Guided Tours - Walking,Self-Guided Tours - Auto,Hiking,Living History,Historic Weapons Demonstration,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",20.00
Apostle Islands National Lakeshore,WI,46.96240467,-90.66045665,National Lakeshore,apis,"Boating,Motorized Boating,Sailing,Boat Tour,Camping,Backcountry Camping,Canoe or Kayak Camping,Group Camping,Fishing,Freshwater Fishing,Guided Tours,Boat Tour,Hiking,Hunting and Gathering,Hunting,Paddling,Canoe or Kayak Camping,Kayaking,Junior Ranger Program,SCUBA Diving,Snowshoeing,Swimming,Freshwater Swimming,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Appalachian National Scenic Trail,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",40.41029575,-76.4337548,National Scenic Trail,appa,"Astronomy,Stargazing,Camping,Backcountry Camping,Compass and GPS,Orienteering,Guided Tours,Self-Guided Tours - Walking,Hands-On,Citizen Science,Volunteer Vacation,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Snowshoeing,Wildlife Watching,Birdwatching",
Appomattox Court House National Historical Park,VA,37.38022164,-78.79856982,National Historical Park,apco,"Arts and Culture,Cultural Demonstrations,Auto and ATV,Scenic Driving,Food,Picnicking,Guided Tours,Hiking,Living History,Historic Weapons Demonstration,First Person Interpretation,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
Arches National Park,UT,38.72261844,-109.5863666,National Park,arch,"Arts and Culture,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,Canyoneering,Climbing,Rock Climbing,Guided Tours,Hiking,Horse Trekking,Horseback Riding,Junior Ranger Program,Shopping,Bookstore and Park Store",30.00
Arkansas Post National Memorial,AR,34.00389998,-91.30837178,National Memorial,arpo,"Arts and Culture,Cultural Demonstrations,Boating,Fishing,Freshwater Fishing,Food,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Living History,Historic Weapons Demonstration,First Person Interpretation,Paddling,Canoeing,Kayaking,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",
"Arlington House, The Robert E. Lee Memorial",VA,38.8822021484,-77.0734786987,,arho,"Guided Tours,Self-Guided Tours - Walking,Museum Exhibits",
Assateague Island National Seashore,"MD,VA",38.05593172,-75.24524611,National Seashore,asis,"Arts and Culture,Auto and ATV,Auto Off-Roading,Astronomy,Stargazing,Biking,Camping,Backcountry Camping,Canoe or Kayak Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Group Camping,RV Camping,Compass and GPS,Geocaching,Fishing,Saltwater Fishing,Guided Tours,Hiking,Backcountry Hiking,Front-Country Hiking,Off-Trail Permitted Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Hunting and Gathering,Hunting,Paddling,Canoeing,Canoe or Kayak Camping,Kayaking,Stand Up Paddleboarding,Junior Ranger Program,Surfing,Swimming,Saltwater Swimming,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store",25.00
Aztec Ruins National Monument,NM,36.83682216,-107.9999245,National Monument,azru,"Arts and Culture,Cultural Demonstrations,Guided Tours,Self-Guided Tours - Walking,Hiking,Front-Country Hiking,Junior Ranger Program,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store",
Badlands National Park,SD,43.68584846,-102.482942,National Park,badl,"Auto and ATV,Scenic Driving,Astronomy,Biking,Camping,Backcountry Camping,Car or Front Country Camping,Horse Camping (see also Horse/Stock Use),Compass and GPS,Food,Hiking,Horse Trekking,Horse Camping (see also camping),Horseback Riding,Junior Ranger Program,Wildlife Watching,Birdwatching,Park Film,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",30.00
Baltimore-Washington Parkway,MD,39.02604289,-76.85410921,Parkway,bawa,"Auto and ATV,Scenic Driving",
Bandelier National Monument,NM,35.77898596,-106.3317124,National Monument,band,"Arts and Culture,Craft Demonstrations,Cultural Demonstrations,Astronomy,Stargazing,Camping,Backcountry Camping,Car or Front Country Camping,Group Camping,Food,Dining,Picnicking,Guided Tours,Self-Guided Tours - Walking,Hiking,Backcountry Hiking,Front-Country Hiking,Junior Ranger Program,Skiing,Cross-Country Skiing,Snowshoeing,Wildlife Watching,Birdwatching,Park Film,Museum Exhibits,Shopping,Bookstore and Park Store,Gift Shop and Souvenirs",25.00
